,8680-PD-1,8680-PD-2,8680-PD-3,8680-PD-4,8680-PD-5,8680-PD-6
ENSG00000000003,6.50065293455776,6.45650754024259,6.33223721011285,6.53136613560782,6.19739853247396,6.49972720832973
ENSG00000000419,6.4433121078482,6.30146681067707,6.55686635870681,6.6667625957198,6.62367116741901,6.62104835321793
ENSG00000000457,4.4561644952893,4.21232981244067,4.24526596279015,4.19079285947013,4.08300651620754,4.23662975958338
ENSG00000000460,5.70634057579402,5.5385733460086,5.79793067486019,5.48715536797079,5.3492930986913,5.67879365766204
ENSG00000000938,-0.490192980412864,-0.766755785857711,-0.24337503986953,-0.59390428331697,-0.404004437682227,0.0353334993804095
ENSG00000000971,4.72031928962778,4.96351010817253,5.56133311379657,5.38296209568611,5.03248528686765,4.96621738524388
ENSG00000001036,7.81097200805028,8.0456296977345,7.6028340656894,7.98006171157969,7.76970939632186,7.84828727350231
ENSG00000001084,4.64797754342722,4.81854225464222,4.74892995771537,4.81410159241811,4.43959087964902,4.51680804686462
ENSG00000001167,5.16976531253215,4.97075097655061,5.3142567491896,4.91455846475312,4.89417531545098,4.87800797974484
ENSG00000001460,4.47829269108136,4.50277554059263,4.37050362989235,4.26672301805594,4.32179833287861,4.27963887419949
ENSG00000001461,5.46839448910328,5.43592871824444,4.76205282612559,5.3715435542643,4.89417531545098,5.02427209435502
ENSG00000001497,6.09799178400556,6.14170368091342,5.77059551845914,6.17637080669233,6.0544504759359,5.99923296321434
ENSG00000001561,-1.1827408209255,-2.17509200137975,0.418095336381843,-0.59390428331697,-1.30842395474366,-0.26077568562021
ENSG00000001617,5.69126313000037,5.54505569434837,5.34945943690716,5.67071538707246,5.44759882486348,5.66263724182383
ENSG00000001629,5.21790488865359,5.21998380354057,5.81377151899469,5.43142400697197,5.35136777778464,5.29621571242719
ENSG00000001630,6.06620327453352,6.21569189219351,6.19986653680761,6.096549413194,5.73978907297048,6.16228470714928
ENSG00000001631,5.03592635794667,4.67520282218213,5.50390505773355,4.76257989736431,5.32416140896097,4.87333571089677
ENSG00000002016,1.5277000406979,2.14006742764177,2.09913900463851,1.79025589884246,2.39863455674897,2.12184430864637
ENSG00000002079,0.403394213378404,0.0823040571730863,0.278952327749718,0.139036438675916,0.85738022791905,-0.180858794501086
ENSG00000002330,5.1311803268278,5.2138941729092,5.01593955150619,5.19493595593323,5.52131987280947,5.45160844442905
ENSG00000002549,8.96141772260993,8.98550137412892,8.71784585659842,9.08223337653574,8.72882360471449,8.90596331065698
ENSG00000002586,8.91268750692055,8.77862036287972,8.71426348409258,8.81633832769152,8.93482536131027,9.02119242289094
ENSG00000002822,5.13675605208492,5.19546951875947,5.03227973981384,5.04247310555713,5.27691783179941,5.20990407265314
ENSG00000002834,8.17842663943853,8.19324792053846,7.65740420266595,8.10253264339048,7.77898750232174,7.85896174670117
ENSG00000002919,5.49251334325372,5.79666395638691,5.05111228683371,5.73450243310989,5.24156035138724,5.50695232586089
ENSG00000003056,7.49388460161865,7.50957797426073,7.37837000135848,7.40821052551355,7.3546566915436,7.34145973932251
ENSG00000003096,1.4220694355329,0.8825704795207,0.82059443085545,0.81483940893056,-0.19579835774886,0.441020558739288
ENSG00000003249,4.13255418454034,3.88451618957387,4.02889873997062,3.80587943230004,4.02699866412545,4.33845387787784
ENSG00000003393,6.10937975679485,6.12341057256871,6.37343654591492,6.08727222727025,5.85393983551132,5.90050557672032
ENSG00000003400,1.6881930099423,1.77127574726509,1.66852579398448,1.27323851273424,1.45964206837155,1.1148477852059
ENSG00000003402,5.62139396323039,5.59745200273719,5.93315134925847,5.77551231087662,6.09587464246596,5.7455087544907
ENSG00000003436,9.28717044031634,9.04187733353785,9.98196252047657,9.16586183801851,9.04548021237203,9.51706372434174
ENSG00000003509,4.23488070112181,4.29156832939011,4.48177199760898,4.35826898843399,4.55570331036196,4.30761542139742
ENSG00000003756,6.2277452652961,6.20754238271009,6.60681870253585,6.18618076494503,6.33899769061161,6.21954735092923
ENSG00000003987,2.58605437592944,2.77975049164953,3.41585047431875,2.44163250298687,2.09616630910643,2.90497568185341
ENSG00000003989,7.34528636225072,7.2694156594558,7.68694771067281,7.6833724012553,7.18239517068955,7.34061372205453
ENSG00000004059,6.49415181824729,6.47784033960822,6.11163143188768,6.49148341834195,6.5809894691405,6.52526818995584
ENSG00000004139,2.8531802629329,3.45273701592446,3.02755689453897,2.86724500913801,3.06735233119823,3.27453454392138
ENSG00000004142,7.5419523215707,7.58150075778386,7.09373769993735,7.53389335793118,7.33329756920438,7.46654803796093
ENSG00000004399,5.54377719219024,5.44462249222367,5.3142567491896,5.50119486892406,5.50463861135104,5.36439604492081
ENSG00000004455,7.99489995178582,8.03674489950195,7.99897210243858,7.96779164003906,7.84378982307098,8.03348934289887
ENSG00000004468,-0.0242291033430351,0.0823040571730863,-0.0474939809832485,0.275990245197032,0.222086798957155,0.441020558739288
ENSG00000004478,6.10796116644167,6.31480550831079,5.79154531296025,6.28077734794389,6.06839110711924,6.21586126151228
ENSG00000004487,8.11345884740219,8.014144520849,7.89074403418572,8.02022425703942,7.74624967569016,8.01451857178249
ENSG00000004534,5.7470090122176,5.67190225929524,5.98443976257909,5.61854033616135,5.94468010258945,5.6032107406369
ENSG00000004660,3.64599299603733,3.71665445765438,3.75469555349014,3.81714684024257,3.76591750555115,4.11524593182416
ENSG00000004700,7.28064948959707,7.19408116727939,7.89670597283929,7.63723455829497,7.04301894051773,7.42843600563549
ENSG00000004766,4.1980204584468,4.03025332774994,4.79114999135519,4.58281720299915,4.06794600902067,4.40794582360532
ENSG00000004776,3.7369052733293,3.53970032421771,3.51994404072598,3.46270556526331,3.7408136862686,3.82710797365642
ENSG00000004777,0.16227955928245,-0.149252495470721,0.661622087888118,-0.181381012977095,0.991131497210029,1.05007971447776
ENSG00000004779,6.56823427461447,6.5752720635281,5.99836882030523,6.81110919071363,6.59594088259,6.5260125927416
ENSG00000004838,1.00083368397016,0.400928519258354,0.716582392016513,0.984343845379172,1.11352802842801,1.23626374530987
ENSG00000004864,6.04560333894711,6.24783723597265,5.36459456380854,6.16428955707151,5.52683770505399,5.72620487666672
ENSG00000004866,6.08218508146046,6.15765425628794,5.70924811329775,5.92490165303376,5.68655195694672,5.80437395858121
ENSG00000004897,7.29817111024845,7.2912697115651,7.55179689079942,7.28631932984443,6.95229858463368,7.1956249359943
ENSG00000004961,6.1866737391416,6.04896714574253,5.71094091497702,6.19376488077712,5.75867108876738,6.16036821352263
ENSG00000004975,5.91054183956882,6.02366072671903,5.68016236064699,5.84733915250216,5.84807451236037,5.77961789140729
ENSG00000005007,6.5422107825424,6.48712775628032,6.24729851565359,6.31197557839135,5.9799727580212,6.19915630961455
ENSG00000005020,4.94986006996779,4.69865076757642,5.39228822203818,4.85293944160231,5.00639050757073,5.03477123261048
ENSG00000005022,8.05760317671447,8.19066625322873,7.64683093603949,8.27765769356086,8.16454716103733,8.18091601204251
ENSG00000005059,6.27528304139347,6.19007029659283,6.12946231714487,6.35995286638723,6.18232663304584,6.32168482343114
ENSG00000005073,3.23223759188959,3.30778912110278,3.59519827945429,3.33527161905368,3.30854312682295,3.75274036545084
ENSG00000005075,5.08866101706889,5.20368731701863,4.97707694895442,5.26655008108168,5.26376011472911,5.19312959651538
ENSG00000005100,2.29832942806166,2.60463736420823,2.71308888272093,2.65759542512208,3.08740646503117,2.49468285084889
ENSG00000005102,2.41305313081404,2.06987623251803,2.34569554972783,2.02214319558872,2.09616630910643,2.77072556091014
ENSG00000005156,5.10865940387374,5.35523321654436,4.93134159607745,5.20354800439861,4.87411297637462,5.04311587487245
ENSG00000005175,6.10369700680013,6.03866811553491,6.72042362117626,6.51934420963843,6.34004283224986,6.42586850801054
ENSG00000005189,2.99499763110625,3.15513477171319,2.92627588163564,2.51265668354363,2.98422621345896,2.74025719805498
ENSG00000005194,6.87637797919936,6.87256951536239,6.35839437921396,6.95448679580883,6.70866392090769,6.66361373619114
ENSG00000005206,4.06981646516476,4.08910425264815,4.19776599887611,3.94076651052583,4.47427435129141,4.09932888215155
ENSG00000005238,4.58411199481668,4.48939334745486,4.51703282064602,4.90666888975316,4.73801785402645,4.70474298876823
ENSG00000005243,4.24007040503349,4.38124470196112,3.94507970350818,4.2543422750903,4.3302380725775,4.26900620089482
ENSG00000005249,2.76951592996608,3.21327183475675,2.91457066011365,2.83435144147955,2.22847355105593,3.06104129717505
ENSG00000005302,5.54796807860018,5.63743411462759,5.64517574401246,5.49419219645106,5.38213517594557,5.39242460248117
ENSG00000005339,5.58106398540897,5.4549863359859,5.75591152150949,5.2437675143042,5.57201696295365,5.38915524862961
ENSG00000005379,2.17368855621189,2.20700147918689,2.61524434665613,2.07941251228629,2.01473123070359,2.32712434482773
ENSG00000005436,5.25169977282103,5.25401444761113,5.57812503439067,5.27474625417636,5.1129516161633,5.25190651966352
ENSG00000005448,5.99891459243819,5.52879488171828,5.95188317842889,5.6938215733812,5.94879667153135,6.05599969861603
ENSG00000005469,3.75151555394895,4.02562531659632,3.82516211617758,4.26672301805594,3.67607383932702,3.84153230083829
ENSG00000005483,5.98970089087496,5.62830533091531,6.5369635714779,6.03515309843588,6.9121033623581,6.18602850922919
ENSG00000005486,6.48434488243532,6.55293185369467,6.15580212154075,6.53989230274703,6.60553340732292,6.52154040364158
ENSG00000005513,-0.238480029065071,-0.3272441431467,-1.50074390715751,-0.0943623143841637,-1.30842395474366,-1.29764003267165
ENSG00000005700,6.46119940578114,6.260694407615,6.81711309742752,6.51416112980317,6.24392711780309,6.23237499889299
ENSG00000005801,3.98580772260062,4.20416123513239,4.55522654866305,4.00129023624015,4.26570267894043,4.28316575567337
